source,question id,encoding,cluster id,source percentage,label percentage,color
201-GSGeoQA-Dataset,1,6to,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,2,6troorotrn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,3,3qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,4,6ppon,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,5,3tr,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,6,3trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,7,6qtn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,8,nqtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,9,3trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,10,3tqrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,11,nrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,12,3tqrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,13,otorrnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,14,1qtrnqt,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
