pattern,k,frequency,expected occurrences,percentage
2,1,11467,0.46695443254469193,46.687298937166595
t,1,12776,0.5202589892902227,50.75538542981634
n,1,30235,1.231217168220874,86.44378384981879
2t,2,10201,0.4154009040192206,41.54009040192206
tn,2,8156,0.332125259600114,33.16773221484709
r,1,4202,0.1711121065276703,16.203119273526898
tr,2,1321,0.05379321578368693,5.3345278332043815
rn,2,3915,0.1594250111984363,15.628944903693448
2tr,3,488,0.019872134218349147,1.9872134218349147
trn,3,1243,0.05061693203567211,5.049476727613308
q,1,1553,0.06324062385470539,6.018650486622959
1,1,12179,0.49594820214195545,49.55817078633384
tq,2,487,0.019831412631836135,1.9831412631836136
q1,2,1,4.072158651301055e-05,0.004072158651301055
1n,2,4243,0.17278169157470374,17.27002484016777
nr,2,670,0.027283462963717066,2.7202019790691043
2tq,3,355,0.014456163212118744,1.4456163212118744
tq1,3,1,4.072158651301055e-05,0.004072158651301055
q1n,3,1,4.072158651301055e-05,0.004072158651301055
1nr,3,428,0.017428839027568515,1.7428839027568515
nrn,3,646,0.026306144887404813,2.6224701714378793
2tq1,4,1,4.072158651301055e-05,0.004072158651301055
tq1n,4,1,4.072158651301055e-05,0.004072158651301055
q1nr,4,1,4.072158651301055e-05,0.004072158651301055
1nrn,4,46,0.001873192979598485,0.1873192979598485
2n,2,99,0.004031437064788044,0.40314370647880443
nn,2,7802,0.3177098179745083,31.15608584110437
o,1,10071,0.41010709777252924,29.47021215946573
2o,2,625,0.025450991570631593,2.5450991570631594
oo,2,2395,0.09752819969866026,7.741173596123304
or,2,1208,0.04919167650771674,4.886590381561265
2oo,3,87,0.0035427780266319175,0.35427780266319175
oor,3,300,0.012216475953903164,1.2216475953903163
orn,3,1087,0.04426436453964246,4.422364295312945
2oor,4,33,0.001343812354929348,0.13438123549293482
oorn,4,282,0.011483487396668974,1.1483487396668974
p,1,808,0.032903041902512524,3.0785519403835973
2p,2,84,0.003420613267092886,0.34206132670928857
po,2,715,0.029115934356802542,2.870871849167244
rq,2,71,0.002891232642423749,0.28505110559107383
qn,2,599,0.02439223032129332,2.4229343975241275
